DATE,temp,precip,windspeed,humidity,visibility,visibility_km,inverse_visibility,temp_7d_avg,temp_lag1,humidity_7d_avg,humidity_lag1,windspeed_7d_avg,windspeed_lag1,precip_7d_avg,precip_lag1,inverse_visibility_7d_avg,inverse_visibility_lag1
2012-12-31,0.09103906037458465,0.0,0.12106483127841963,0.8414387328144617,,,,0.07193325267798314,0.09103906037458465,0.8917449518404043,0.8414387328144617,0.10152999211337665,0.12106483127841963,0.0,0.0,,
2013-01-01,0.04958157092077031,0.0,0.15245186236202765,0.8983215939726026,,,,0.05010652586658712,0.09103906037458465,0.9234462113187655,0.8414387328144617,0.12445120548243599,0.12106483127841963,0.0,0.0,,
2013-01-02,0.06773531419782741,0.0,0.19925491078299126,0.8076880433779181,,,,0.0492027269161395,0.04958157092077031,0.9003394442541578,0.8983215939726026,0.15487772301676006,0.15245186236202765,0.0,0.0,,
2013-01-03,0.05125529313138849,0.0,0.15911821520159156,0.8023057288486493,,,,0.04441258937582562,0.06773531419782741,0.8872862579164701,0.8076880433779181,0.15543553761496554,0.19925491078299126,0.0,0.0,,
2013-01-04,0.02331663864409081,0.0,0.16543856228981899,0.8666803812015902,,,,0.03565479911143185,0.05125529313138849,0.8938049432288396,0.8023057288486493,0.1576164669283378,0.15911821520159156,0.0,0.0,,
2013-01-05,0.039861004173210646,0.0,0.18271289658265596,0.7788325994182725,,,,0.03271972309994034,0.02331663864409081,0.8818313168429902,0.8666803812015902,0.16327543366330455,0.16543856228981899,0.0,0.0,,
2013-01-06,0.0712115359499158,0.0,0.41212349346645516,0.7462523002695891,,,,0.03533911736557829,0.039861004173210646,0.8680909399166802,0.7788325994182725,0.21518417663730205,0.18271289658265596,0.0,0.0,,
2013-01-07,0.09728337590155917,0.0,0.48702538127861006,0.6755897991976528,,,,0.03627841322831135,0.0712115359499158,0.8416826838130703,0.7462523002695891,0.29154200944381764,0.41212349346645516,0.0,0.0,,
2013-01-08,0.15290327755693434,0.0,0.42877747913035547,0.6327481538096026,,,,0.05182049324566865,0.09728337590155917,0.7993952161206616,0.6755897991976528,0.3491974732508926,0.48702538127861006,0.0,0.0,,
2013-01-09,0.1977726295659078,0.0,0.5670358853901146,0.6055592132855419,,,,0.07138124602930149,0.15290327755693434,0.7672100835750668,0.6327481538096026,0.42593513846768566,0.42877747913035547,0.0,0.0,,
2013-01-10,0.23433761184473262,0.0,0.4763762384444682,0.532630721151796,,,,0.09892124841453262,0.1977726295659078,0.7242695200592596,0.6055592132855419,0.49213116723442735,0.5670358853901146,0.0,0.0,,
2013-01-11,0.2693575903067977,0.0,0.22228515820098158,0.7039019413877017,,,,0.13593174971949348,0.23433761184473262,0.6983501810981584,0.532630721151796,0.5039922349538901,0.4763762384444682,0.0,0.0,,
